frameNumber,hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
1,214977673,0,4,7,10,76,113
1,215001653,0,4,7,10,170,197
1,215016532,0,4,7,10,228,166
1,216912108,0,4,8,7,208,14
1,220783082,0,4,10,2,225,16
1,221291013,0,4,10,10,162,245
1,223387895,0,4,11,10,160,3
1,223474890,0,4,11,11,244,48
1,224869590,0,4,12,1,60,36
1,229563043,0,4,14,8,218,87
1,233609621,0,4,16,6,153,101
1,235496111,0,4,17,3,98,75
1,235894118,0,4,17,9,117,148
1,235925334,0,4,17,9,239,164
1,235973003,0,4,17,10,169,111
1,235984202,0,4,17,10,213,176
1,236023911,0,4,17,11,112,147
1,237997709,0,4,18,9,142,109
1,238050796,0,4,18,10,93,14
1,240579032,0,4,19,16,241,34
1,254313482,0,4,26,2,132,240
1,256410872,0,4,27,2,132,2
1,403760115,1,3,1,9,227,7
1,409651160,1,3,4,3,199,34
1,416064865,1,3,7,5,165,153
1,445268147,1,3,21,3,64,71
1,447709805,1,3,22,8,130,141
1,450222291,1,3,23,14,216,39
1,451994886,1,3,24,9,229,244
1,474574693,1,4,3,3,111,149
1,487273293,1,4,9,5,51,173
1,499607658,1,4,15,1,104,144
1,500707755,1,4,15,18,49,79
1,518662327,1,4,24,4,40,67
1,521104484,1,4,25,9,108,150
1,523606884,1,4,26,15,155,150
1,527478550,1,4,28,10,175,228
1,703153318,2,3,16,2,68,84
1,718035785,2,3,23,5,91,177
1,776508138,2,4,19,2,146,16
1,793484934,2,4,27,5,158,116
2,262755,0,1,1,4,254,151
2,2173885,0,1,2,1,213,61
2,2246561,0,1,2,2,185,89
2,2276102,0,1,2,2,69,244
2,2365769,0,1,2,4,231,177
2,2376917,0,1,2,4,188,37
2,2392887,0,1,2,4,125,195
2,2461008,0,1,2,5,115,170
2,4328603,0,1,3,2,244,95
2,4373237,0,1,3,2,70,5
2,4401107,0,1,3,3,217,39
2,6392467,0,1,4,1,118,103
2,6411122,0,1,4,1,45,136
2,6743105,0,1,4,6,28,185
2,8492883,0,1,5,1,105,167
2,8508278,0,1,5,1,45,132
2,8570266,0,1,5,2,59,96
2,8591730,0,1,5,3,231,136
2,8606828,0,1,5,3,172,142
2,8827999,0,1,5,6,76,155
2,10551299,0,1,6,1,256,247
2,10621988,0,1,6,2,236,214
2,10656675,0,1,6,2,101,87
2,10693976,0,1,6,3,211,162
2,10697169,0,1,6,3,199,41
