batch,track_id,hit_IDs,tids,num_hits,correct_track
84,1,"[142119671, 140022027, 504691466, 6482676]","[82680, 82680, 61342, 61342]",4,0
85,0,"[424704502, 422608651, 491886368, 4406226]","[131811, 131811, 131811, 131811]",4,1
85,1,"[8657182, 152188465, 139195916, 210373553]","[135276, 135276, 131811, 131811]",4,0
85,2,"[8657182, 165185816, 699133279, 770419684]","[135276, 147738, 135276, 135276]",4,0
85,3,"[165185561, 165185562, 692899194, 764159244, 4406226, 139195916]","[147738, 147738, 135276, 135276, 131811, 131811]",6,0
86,0,"[479384636, 14982346, 86297284, 170892635]","[140287, 140287, 140287, 140287]",4,1
87,0,"[162413003, 233669963, 10658312, 81965426]","[147078, 147078, 147078, 147078]",4,1
88,0,"[518973990, 10659334, 231510242, 434947391, 81971082, 158167319]","[141051, 141051, 141051, 149479, 141051, 141051]",6,0
88,1,"[518973990, 12755187, 158167319, 231510242]","[141051, 141051, 141051, 141051]",4,1
89,0,"[441275758, 514652490, 316764, 67329365]","[91940, 91940, 150449, 150449]",4,0
89,1,"[435743167, 427062653, 429006485, 500266893, 242806073, 75830063, 242806073, 6628931]","[144509, 150449, 91940, 91940, 150451, 150451, 150451, 150451]",8,0
89,2,"[170678865, 241835885, 500527788, 67329365]","[150449, 150449, 150449, 150449]",4,1
90,0,"[75642855, 145802133, 158731300, 6450121, 217110238, 451940662]","[137810, 137810, 137810, 137810, 137810, 150634]",6,0
90,1,"[84272578, 164648370, 527432554, 12956020]","[150634, 150634, 150634, 150634]",4,1
91,0,"[4562424, 2460168, 4562424, 71753843, 158406565, 229681363]","[101030, 101030, 101030, 101030, 152784, 152784]",6,0
91,1,"[227008813, 81919470, 158578849, 229852367, 4535221, 71643182]","[152784, 152784, 152784, 152784, 152784, 152784]",6,1
91,2,"[424853540, 496139392, 10792098, 79994632]","[152784, 152784, 152784, 152784]",4,1
91,3,"[158406565, 137519552, 416095327, 485222159]","[152784, 152784, 149934, 149934]",4,0
92,0,"[498509298, 496412418, 6597273, 139462530, 6597273, 73716004]","[135355, 135355, 135355, 135355, 135355, 135355]",6,1
92,1,"[139462530, 206525465, 73716004, 206525465]","[135355, 135355, 135355, 135355]",4,1
93,0,"[414289387, 481380936, 67206828, 240043000, 506813838, 6439644]","[121735, 121735, 121735, 145630, 145630, 145630]",6,0
93,1,"[174928606, 240043000, 67206828, 237945609, 435539158, 6439644]","[121735, 145630, 121735, 145630, 145630, 145630]",6,0
93,2,"[248280204, 240043000, 174928606, 237945609, 237822265, 6439644, 90042, 86132634]","[121735, 145630, 121735, 145630, 145630, 145630, 121735, 145630]",8,0
93,3,"[166549645, 6439644, 248280204, 237945609, 6439644, 75646441]","[145630, 145630, 121735, 145630, 145630, 145630]",6,0
93,4,"[90042, 240043000, 425014585, 240043000, 67206828, 166674523]","[121735, 145630, 145630, 145630, 121735, 145630]",6,0
93,5,"[90042, 237945609, 425014585, 237945609, 425014585, 86132634]","[121735, 145630, 145630, 145630, 145630, 145630]",6,0
93,6,"[166549645, 14829677, 237822265, 14829677, 67206828, 86132634]","[145630, 145630, 145630, 145630, 121735, 145630]",6,0
93,7,"[425014585, 6439644, 506813838, 240043000, 174928606, 86132634]","[145630, 145630, 145630, 145630, 121735, 145630]",6,0
93,8,"[90042, 166674523, 435539158, 240043000, 67206828, 6439644]","[121735, 145630, 145630, 145630, 121735, 145630]",6,0
93,9,"[90042, 6439644, 174928606, 166674523, 248280204, 6439644]","[121735, 145630, 121735, 145630, 121735, 145630]",6,0
93,10,"[90042, 14829677, 425014585, 14829677, 248280204, 166674523]","[121735, 145630, 145630, 145630, 121735, 145630]",6,0
93,11,"[435539158, 14829677, 506813838, 14829677]","[145630, 145630, 145630, 145630]",4,1
93,12,"[506813838, 237945609, 435539158, 237945609, 174928606, 6439644]","[145630, 145630, 145630, 145630, 121735, 145630]",6,0
94,0,"[84021611, 168501911, 241752849, 4461674]","[134596, 134596, 134596, 146451]",4,0
94,1,"[84021611, 4461674, 168501911, 241752849]","[134596, 146451, 134596, 134596]",4,0
94,2,"[180916704, 254272128, 523261782, 12816698]","[119682, 119682, 134596, 134596]",4,0
95,0,"[67176371, 174945729, 481135882, 190150]","[149461, 149461, 149461, 149461]",4,1
95,1,"[414038195, 483233017, 244733976, 79842798, 8547906, 79842798]","[149461, 149461, 156121, 156121, 156121, 156121]",6,0
95,2,"[776534110, 173481400, 79842798, 154139525, 512886406, 8780119]","[156121, 156121, 156121, 156121, 150728, 150728]",6,0
