tid_array,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,hit_IDs,num_hits_y
4203062,[21.81821386],[20.70886683],[0.18213756],[0.94678363],6,[],0
4203169,[27.82042803],[26.73985904],[-0.14991542],[-1.55909922],9,"[423084112, 77979698, 517390071]",3
4203577,[25.46368446],[22.56980575],[-0.2615996],[0.59418908],7,[],0
4203852,[20.15690998],[9.11964133],[0.61449223],[-1.35345029],6,[],0
4203872,[20.64267396],[10.21606341],[0.58779249],[-0.15235584],6,[],0
4204281,[3.98074805],[3.8994708],[0.11696859],[-0.41649165],11,[],0
4204449,[13.74226572],[3.93328759],[0.7137466],[0.41009811],5,[],0
4204696,[24.31977285],[23.38925419],[0.15847929],[-0.41149608],6,[],0
4205465,[28.03874963],[12.23475336],[0.62440594],[0.24531414],4,[],0
4205703,[27.55457671],[26.87766016],[0.12781031],[-0.08311704],6,[],0
4206175,[25.40742634],[11.93746455],[0.60361455],[0.56238241],4,[],0
4206378,[25.05747117],[19.90751137],[0.36612939],[-0.38318664],6,[],0
4206462,[15.89533632],[8.2983187],[-0.56062502],[1.47764669],6,[],0
4206937,[21.69656295],[17.14203659],[-0.36039328],[-0.83708183],6,[],0
4207114,[27.56344493],[24.92831482],[-0.23914737],[1.34186877],7,[],0
4207123,[27.79963217],[25.18993304],[-0.23689708],[1.51143936],6,[],0
4207504,[3.44499088],[3.20331783],[-0.20383357],[1.42130101],13,[],0
4207718,[21.90560545],[11.40702721],[0.57118563],[0.26351969],6,[],0
4207719,[20.79331978],[14.86932402],[-0.42359513],[1.33176593],10,[],0
4207720,[15.78879925],[15.22922882],[-0.14295358],[-0.83706804],9,[],0
4207979,[17.3959772],[12.50065974],[0.43055896],[-0.03901241],4,[],0
4207988,[28.20230716],[10.45707481],[-0.65435762],[-0.70208221],4,[],0
4208072,[29.1140444],[24.92075497],[-0.29590552],[-1.47660757],6,[],0
4208378,[8.37205554],[7.11106431],[0.3126802],[-1.0050888],4,[],0
4208558,[13.32872901],[8.01205378],[0.51743115],[-0.61752894],5,[],0
4208650,[11.1841621],[10.06031115],[-0.24544065],[-0.545697],7,"[143386121, 214675651, 82162221, 145482999]",4
4209618,[21.86147953],[20.7522842],[0.18194829],[-0.84519994],6,[],0
4209627,[28.03357452],[27.73851186],[-0.07551689],[-1.33354312],9,[],0
4209662,[21.53387771],[18.54429558],[0.30002951],[-0.50729863],4,[],0
4209681,[21.22369275],[12.55109958],[-0.51438192],[-0.80887136],6,[],0
4210746,[10.12047467],[8.69160121],[-0.29289526],[0.2597113],40,"[427268367, 427268623, 427240724, 67228821, 427240980, 498586653, 500693281, 427250217, 427250473, 498530102, 427140668, 427246656, 427206211, 427169094, 429234887, 498560077, 427137103, 170670800, 427189587, 427178071, 429234649, 427156062, 500668255, 500639587, 157811437, 427139956]",26
4210747,[20.48518109],[19.40168518],[-0.1759756],[0.80318836],12,[],0
4211817,[16.91103929],[16.786139],[-0.06245576],[1.649843],6,[],0
4211835,[26.42873773],[25.68741524],[-0.12654978],[1.2651359],5,[],0
4212379,[23.24477018],[17.97119932],[-0.37543644],[-0.9607447],7,"[10785049, 225304198, 451799562, 82102189, 403564793]",5
4212531,[29.00462027],[26.54982769],[0.23423372],[0.79478177],6,[],0
4212590,[22.63932094],[22.5490819],[0.05430286],[0.8300198],17,[],0
4212910,[9.09733098],[6.49526431],[-0.42455434],[0.42230807],4,[],0
4213158,[10.18545795],[10.14769103],[-0.0428252],[-0.48820798],41,"[166705669, 242167174, 71473414, 15131164, 84107172, 2270885, 181259303, 69477162, 256819123, 254631996, 183446215, 69368391, 73521633, 4366953, 67212268, 170984689, 168726003, 73571060, 168803318, 242090359]",20
4213190,[17.64746516],[14.41950404],[-0.33527232],[0.42936998],6,"[181158177, 258689499, 2201540, 69323118]",4
4213650,[24.14722209],[17.61265344],[-0.41215393],[0.32878281],5,[],0
4213872,[28.25988909],[26.11664955],[0.22182683],[1.672386],4,[],0
4213933,[15.87702447],[10.10872602],[0.49233472],[0.91630185],6,[],0
4214933,[14.79421649],[10.38626177],[-0.43385681],[0.12750425],5,[],0
4215171,[15.91458484],[12.66203488],[0.36510027],[0.38049506],6,[],0
4215213,[24.37430072],[24.16934617],[0.07669691],[1.41233155],7,[],0
4215836,[17.86233752],[17.65632499],[0.08901669],[1.28074931],10,[],0
4215920,[3.56993868],[3.5621438],[-0.03174322],[1.42244321],27,[],0
4216040,[19.02155849],[15.90991097],[-0.31624326],[-0.65929889],6,[],0
4216770,[27.74530496],[21.72783765],[0.37635383],[-1.39393749],5,[],0
4216771,[20.5746292],[18.20316467],[-0.26352934],[0.50312444],7,[],0
4216950,[2.86290072],[2.30373786],[0.35699017],[0.57947911],10,[],0
4216977,[25.88549915],[24.23783887],[0.20342382],[-0.62281469],6,[],0
4217006,[23.67153911],[17.3558042],[-0.40906551],[0.59907792],6,[],0
4217506,[21.81709074],[18.94235614],[-0.28251353],[-0.67676051],6,[],0
4217648,[19.46703878],[10.29997538],[0.56575537],[1.19634322],5,[],0
4217689,[17.98428991],[14.28560191],[-0.35654038],[-0.2632138],6,[],0
4217770,[15.1802573],[11.38402095],[-0.39528428],[-0.55101697],6,[],0
4218406,[12.0556893],[4.739507],[-0.64105686],[-0.27043935],5,[],0
