frame_array,tid_array,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,batch,track_id,hit_IDs,tid,traj_ps,traj_pts,traj_lambdas,traj_phis,num_hits_y,correct_track
124,172721,[22.39443278],[18.22647299],[0.34805225],[-1.16218185],4,,,,,,,,,,
125,164554,[21.89471835],[16.06134244],[-0.40876081],[1.72119339],6,,,,,,,,,,
125,123419,[24.40667151],[19.81773329],[0.34985879],[-0.92708358],11,,,,,,,,,,
126,178833,[3.72905769],[3.45567482],[-0.20852761],[-0.78049875],9,,,,,,,,,,
126,163561,[15.61000647],[13.9949386],[-0.24917178],[-0.51533857],5,,,,,,,,,,
128,134648,[21.45629598],[15.78659997],[0.41670687],[0.61472578],6,,,,,,,,,,
128,178988,[27.99506542],[15.17712238],[-0.54745837],[0.98721023],4,,,,,,,,,,
129,147145,[17.14872406],[14.51722542],[-0.30586387],[-1.24349397],7,,,,,,,,,,
130,172754,[21.54754846],[18.18766348],[-0.30842129],[0.55240827],6,,,,,,,,,,
130,170397,[17.17681153],[13.87788221],[-0.34395701],[0.85992852],6,,,,,,,,,,
130,137192,[21.30430765],[16.03701926],[-0.39288553],[0.87816588],6,,,,,,,,,,
131,182883,[12.74433392],[12.60103488],[-0.07822994],[1.54352567],14,,,,,,,,,,
131,174412,[19.19138857],[14.55460965],[-0.38813032],[-0.75338886],7,,,,,,,,,,
131,182126,[14.82625279],[12.16110768],[0.34196762],[-0.50754995],4,,,,,,,,,,
131,162722,[17.77830381],[12.60625845],[-0.42835061],[0.21348218],4,,,,,,,,,,
132,179308,[21.62331408],[21.28021943],[-0.09387438],[-1.48324969],8,,,,,,,,,,
132,135345,[22.89837204],[17.51425332],[-0.38258969],[-1.50882775],5,,,,,,,,,,
133,169709,[24.08075647],[23.17854699],[-0.14713579],[0.23244042],4,,,,,,,,,,
133,174333,[25.70338766],[20.23328414],[-0.36299487],[0.59569118],4,,,,,,,,,,
135,186439,[10.76770224],[10.62307631],[0.09570043],[-1.41015587],42,,,,,,,,,,
135,177084,[22.23182829],[21.51664276],[-0.13592076],[0.93896366],6,,,,,,,,,,
136,165286,[17.38056031],[17.30831692],[0.05535227],[-0.87431051],21,,,,,,,,,,
136,187097,[22.98247091],[22.8030679],[-0.06434478],[1.02064801],6,,,,,,,,,,
139,155340,[21.33547363],[20.72674125],[-0.12768144],[1.66284186],8,,,,,,,,,,
140,178928,[17.05449943],[17.00365629],[-0.03789065],[0.58817064],17,,,,,,,,,,
140,161753,[19.22936821],[16.63257822],[-0.28615391],[1.11995276],6,,,,,,,,,,
140,67843,[19.89991199],[17.85657622],[0.25791038],[-0.53075891],6,,,,,,,,,,
141,185761,[19.50983157],[19.50942305],[0.00844592],[-0.62320991],75,,,,,,,,,,
