tid,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,hit_IDs,num_hits_y
160042.0,[20.74923824],[20.74707252],[0.01286152],[-1.13567443],38,"[158391300, 229753093, 333831, 10835733, 82138265, 177419035, 158556189, 69613728, 158481196, 82193840, 10891056, 69539764, 353589, 177367865, 252882117, 10818630, 252804043, 82121676, 231758800, 69560537, 231925468, 252833249, 158497636, 2504421, 160488690, 82096756, 231850485, 2431223]",28
162546.0,[16.11117643],[15.90634229],[0.0932284],[0.52738754],16,"[158505952, 774351373, 80119934, 158761919]",4
165286.0,[17.38056031],[17.30831692],[0.05535227],[-0.87431051],21,"[81969252, 71585253, 253033065, 234089775, 160545553, 162816178, 179560732, 236292221, 162924095]",9
165346.0,[19.0481977],[15.57550417],[0.3444171],[1.21548725],7,"[8482272, 149755522, 6371689, 210444524, 218911693, 139154482, 77700470]",7
165391.0,[29.19997579],[17.17522993],[-0.51654324],[0.39757686],4,"[196642, 179125596, 69428174, 254531182]",4
166296.0,[8.71333984],[8.65929337],[-0.05683148],[1.71185956],24,"[86301571, 225407623, 77802121, 78050717, 152189220, 235964580, 86137765, 8593588, 164689464, 8842178, 164393932, 235864530, 154034132, 15000667, 164589404, 225294176, 233640544, 154143971, 156028014, 77772655, 14837116]",21
167267.0,[17.92700752],[17.82502035],[0.06393797],[1.00256125],14,"[73532898, 135508199, 73805513, 183482921, 4602704, 259214681]",6
167521.0,[25.63080741],[25.39515877],[-0.07025357],[-1.21404491],6,"[80146523, 156386197, 10937518, 227650471]",4
172734.0,[11.10208539],[11.09892369],[-0.00834854],[0.71676747],27,"[150186242, 152177553, 8730642, 135553172, 204600857, 204741018, 221350556, 219357729, 80112553, 152241579, 4527536, 146124979, 204554804, 221411765, 204647734, 137523640, 71635257, 80035515, 213188548, 4567495, 137479369, 71676750, 137569493, 10906343, 152283629, 4614382, 71723121]",27
173350.0,[11.3859897],[11.15824553],[0.11577408],[-0.14721152],13,"[14832093, 219274561, 78017511, 84033832, 162835977, 150427147, 8806125, 234123087, 164604815, 221678865, 164932851, 235885213, 150111967]",13
173546.0,[12.9471599],[12.85373248],[-0.06168],[1.31314391],79,"[212667399, 156369802, 77968010, 227695628, 147981453, 158526608, 155934621, 152246814, 152201759, 217159204, 156396325, 152135077, 219352488, 225585193, 156399146, 225525419, 6665646, 225525167, 77969457, 8766771, 148080949, 225529147, 8466367, 80102719, 231673023, 229468227, 152185158, 225172808, 80053323, 77998158, 10867666, 160296658, 81879382, 221421142, 158460374, 156438629, 150164072, 223393257, 158582122, 12671217, 147755380, 214764792, 160395903]",43
175561.0,[24.19079887],[21.34047246],[-0.26655535],[-0.22924565],6,"[67433440, 477263721, 172978644]",3
175573.0,[23.79629253],[14.8000044],[-0.49308232],[-1.65008519],6,"[75813733, 436820592, 218914197, 147702842, 6578811]",5
177908.0,[16.54378503],[15.04731636],[0.24212384],[-0.3813037],6,"[168817448, 244305378, 14858437, 86151138]",4
178928.0,[17.05449943],[17.00365629],[-0.03789065],[0.58817064],17,"[8668260, 210686756, 69280006, 137582535, 2169453, 137220078, 206430062, 77883218, 183382420, 71377399, 151733372]",11
179329.0,[26.94919536],[26.79925186],[0.06328163],[0.09306961],32,"[213046018, 248426245, 213091086, 212982672, 175370269, 143806762, 145973943, 146014395, 6641735, 75845967, 175379026, 250844628, 67474261, 67277926, 175054183, 215143409, 363635, 250523637, 171644]",19
182883.0,[12.74433392],[12.60103488],[-0.07822994],[1.54352567],14,"[6382276, 145828100, 86176133, 164275270, 217090411, 147690955, 147925492, 6677911, 235836796, 75887772, 164558429, 216851998, 75592639]",13
185761.0,[19.50983157],[19.50942305],[0.00844592],[-0.62320991],75,"[12996224, 235990017, 181587715, 238180611, 235997701, 82179079, 253065736, 73849737, 164826633, 202506379, 12851087, 4605968, 135481106, 135338134, 179706392, 13007513, 238194972, 82063647, 4642594, 202614691, 73816743, 82180649, 257047210, 73779883, 202554539, 238087977, 164720686, 4466095, 164820912, 12999601, 164727990, 164716983, 181703736, 240440506, 4618685, 84297917, 12972223, 183591104, 4611649, 4575042, 71574851, 240322240, 82226502, 73683144, 12858824, 166948044, 135432526, 84153807, 202559824, 71728977, 167067599, 84312015, 12974804, 202464208, 4475736, 202414040, 240192731, 135540318, 238190558, 84303585, 167000802, 135477861, 166821096, 166913000, 240366570, 73811820, 183685356, 13021933, 256960111, 238087411, 240278005, 255163382, 166924023, 238095350, 135386751]",75
186439.0,[10.76770224],[10.62307631],[0.09570043],[-1.41015587],42,"[430976, 10817664, 86314114, 236123778, 67540356, 164730122, 242411789, 231900432, 240324889, 171112348, 169056540, 67509790, 401439, 8758945, 10838434, 8794531, 166900902, 15031206, 171142445, 78019117, 86338738, 80019778, 158541515, 77961037, 78001486, 227668311, 156388823, 158445913, 156447451, 231895645, 80047967, 236079457, 166984677, 8814460, 156440042, 227710317, 158519151, 242383728, 80086769, 166827506, 15013493, 227716732]",42
186689.0,[10.22068283],[10.14833395],[0.07077355],[0.59878202],29,"[150079205, 215116805, 75569446, 8675787, 77875670, 183616574]",6
187301.0,[22.24884965],[19.14254279],[0.30088207],[-0.36000547],9,"[242311488, 14902496, 84094215, 168919383, 86192377]",5
189730.0,[16.17688522],[16.04940303],[-0.0646775],[-0.97887193],14,"[160552770, 81875655, 160295784, 178968874, 179218704, 71371475, 254687415, 233657305, 233913788, 254440670, 82142878]",11
192054.0,[18.82987512],[18.81651988],[0.02571336],[0.13724689],33,"[214768000, 183366116, 69499432, 145934713, 8790218, 259069455, 145593395, 183594391, 250410584, 78002361, 183803960, 177100511]",12
194195.0,[20.52436243],[20.51779509],[0.01886726],[-0.51844552],18,"[84135010, 166860610, 240228708, 73643466, 84154988, 166807182, 4437614, 135257617, 240171957, 4586585, 204543422]",11
194450.0,[24.6200936],[16.92373033],[-0.44510435],[-0.22734733],6,"[86224857, 170752850, 14897883, 246168033]",4
198762.0,[17.59191888],[17.59049059],[0.01191763],[0.83002655],19,"[225922573, 10889232, 82193558, 156446776, 204681530, 71653724, 137602749, 137717663]",8
199439.0,[8.56979043],[8.49315568],[0.07895885],[0.82877349],6,"[150251537, 71750717, 219412069]",3
200397.0,[19.38184057],[14.05943928],[0.42511407],[0.53938033],6,"[2455132, 177516121, 250932580, 69538095]",4
200610.0,[28.11293727],[27.92371918],[-0.05939376],[-0.77411111],9,"[448240729, 235369286, 81856863]",3
201608.0,[17.15061019],[17.1506101],[0.0048084],[1.31941823],37,"[147917572, 218946889, 158481706, 150015218, 82161110, 77984088, 8771354, 219178623]",8
206437.0,[25.79819819],[19.6021854],[-0.3868968],[-0.8292821],6,"[82046664, 160272445, 233599662]",3
207861.0,[7.49502363],[7.46963635],[0.05044637],[-0.39410146],7,"[173201552, 86441921, 248680028, 183766396]",4
209811.0,[10.92123195],[10.84856951],[-0.05903189],[-1.13794502],22,"[158418272, 158609696, 158399873, 246435875, 69519268, 231765445, 79978410, 173190926, 79986286, 175164061]",10
210874.0,[26.30749268],[18.74637394],[-0.4255713],[0.59007463],8,"[69633033, 489279953, 417967112, 183561438]",4
