batch,track_id,hit_IDs,traj_ps,traj_pts,traj_lambdas,traj_phis,num_hits,correct_tracks,tid
17,5,"[84159055, 168625836, 168625836, 241987496]","[21.08968195043892, 21.08968195043892, 21, 21]","[20.990911509738687, 20.990911509738687, 20, 20]","[-0.04872978777666472, -0.04872978777666472, 0, 0]","[-0.4404156448475027, -0.4404156448475027, 0, 0]",4,1,84736
17,6,"[84159055, 139330005, 168625836, 206411714]","[21.08968195043892, 21.08968195043892, 21, 21]","[20.990911509738687, 20.990911509738687, 20, 20]","[-0.04872978777666472, -0.04872978777666472, 0, 0]","[-0.4404156448475027, -0.4404156448475027, 0, 0]",4,1,84736
17,7,"[84159055, 136934721, 168625836, 204016442]","[21.08968195043892, 21.08968195043892, 21, 21]","[20.990911509738687, 20.990911509738687, 20, 20]","[-0.04872978777666472, -0.04872978777666472, 0, 0]","[-0.4404156448475027, -0.4404156448475027, 0, 0]",4,1,84736
17,8,"[168892900, 242255854, 73515843, 139330005]","[21.08968195043892, 21.08968195043892, 21, 21]","[20.990911509738687, 20.990911509738687, 20, 20]","[-0.04872978777666472, -0.04872978777666472, 0, 0]","[-0.4404156448475027, -0.4404156448475027, 0, 0]",4,1,84736
17,9,"[168892900, 206411714, 73515843, 168892900]","[21.08968195043892, 21.08968195043892, 21, 21]","[20.990911509738687, 20.990911509738687, 20, 20]","[-0.04872978777666472, -0.04872978777666472, 0, 0]","[-0.4404156448475027, -0.4404156448475027, 0, 0]",4,1,84736
17,10,"[168892900, 204016442, 73515843, 136934721]","[21.08968195043892, 21.08968195043892, 21, 21]","[20.990911509738687, 20.990911509738687, 20, 20]","[-0.04872978777666472, -0.04872978777666472, 0, 0]","[-0.4404156448475027, -0.4404156448475027, 0, 0]",4,1,84736
18,0,"[12959415, 84242394, 84242394, 166971547, 166971547, 240375698]","[23.372471081483322, 23.372471081483322, 23, 23, 23, 23]","[18.660884564138506, 18.660884564138506, 18, 18, 18, 18]","[0.3625263802082815, 0.3625263802082815, 0, 0, 0, 0]","[-0.449592941414553, -0.449592941414553, 0, 0, 0, 0]",6,1,66023
19,0,"[73672579, 157949874, 139520373, 210272318, 4463156, 73672579]","[18.82229190730553, 18.82229190730553, 18, 18, 18, 18]","[18.494350039603454, 18.494350039603454, 18, 18, 18, 18]","[-0.09861834188246005, -0.09861834188246005, 0, 0, 0, 0]","[1.005383447622292, 1.005383447622292, 1, 1, 1, 1]",6,1,77899
19,1,"[139520373, 227134736, 73672579, 141091489]","[18.82229190730553, 18.82229190730553, 18, 18]","[18.494350039603454, 18.494350039603454, 18, 18]","[-0.09861834188246005, -0.09861834188246005, 0, 0]","[1.005383447622292, 1.005383447622292, 1, 1]",4,1,77899
19,2,"[141091489, 210272318, 73672579, 139520373]","[18.82229190730553, 18.82229190730553, 18, 18]","[18.494350039603454, 18.494350039603454, 18, 18]","[-0.09861834188246005, -0.09861834188246005, 0, 0]","[1.005383447622292, 1.005383447622292, 1, 1]",4,1,77899
19,3,"[141091489, 227134736, 73672579, 151625392]","[18.82229190730553, 18.82229190730553, 18, 18]","[18.494350039603454, 18.494350039603454, 18, 18]","[-0.09861834188246005, -0.09861834188246005, 0, 0]","[1.005383447622292, 1.005383447622292, 1, 1]",4,1,77899
20,0,"[4277445, 71427610, 71427610, 139044134, 139044134, 210219248]","[21.66547652559241, 21.66547652559241, 21, 21, 21, 21]","[10.92460624968633, 10.92460624968633, 10, 10, 10, 10]","[-0.5720929289355164, -0.5720929289355164, 0, 0, 0, 0]","[0.8694854102799159, 0.8694854102799159, 0, 0, 0, 0]",6,1,80688
20,1,"[14831701, 71427610, 71427610, 424244141, 139044134, 493517208]","[15.415561219154007, 21.66547652559241, 21, 21, 21, 21]","[11.365973692503223, 10.92460624968633, 10, 10, 10, 10]","[0.41545822053765213, -0.5720929289355164, 0, 0, 0, 0]","[-0.004294078139316807, 0.8694854102799159, 0, 0, 0, 0]",6,1,80688
20,2,"[86116467, 139044134, 166823245, 238142776, 14831701, 86116467]","[15.415561219154007, 21.66547652559241, 15, 15, 15, 15]","[11.365973692503223, 10.92460624968633, 11, 11, 11, 11]","[0.41545822053765213, -0.5720929289355164, 0, 0, 0, 0]","[-0.004294078139316807, 0.8694854102799159, 0, 0, 0, 0]",6,1,86679
21,3,"[73491884, 139244984, 139244984, 494064978, 10568382, 73491884]","[17.586474548205103, 17.586474548205103, 17, 17, 20, 17]","[14.935500883638928, 14.935500883638928, 14, 14, 18, 14]","[-0.30303072525808494, -0.30303072525808494, 0, 0, 0, 0]","[0.9335240031544961, 0.9335240031544961, 0, 0, -1, 0]",6,1,69309
22,0,"[12950459, 84217846, 82117892, 175065616, 160787764, 232131987]","[13.6479229640786, 13.6479229640786, 13, 19, 13, 13]","[8.230276055618868, 8.230276055618868, 8, 18, 8, 8]","[0.5160900808055656, 0.5160900808055656, 0, 0, 0, 0]","[-0.306833974225277, -0.306833974225277, 0, 0, 0, 0]",6,1,88780
22,3,"[175065616, 486063326, 67325165, 175065616, 14885685, 67325165]","[19.866454145608127, 19.866454145608127, 19, 19, 19, 19]","[18.258751335627036, 18.258751335627036, 18, 18, 18, 18]","[-0.21936122653956305, -0.21936122653956305, 0, 0, 0, 0]","[0.12559496697392195, 0.12559496697392195, 0, 0, 0, 0]",6,1,88782
22,4,"[250513229, 416872083, 67325165, 416872083]","[19.866454145608127, 19.866454145608127, 19, 19]","[18.258751335627036, 18.258751335627036, 18, 18]","[-0.21936122653956305, -0.21936122653956305, 0, 0]","[0.12559496697392195, 0.12559496697392195, 0, 0]",4,1,88782
23,1,"[2199155, 79804698, 69306921, 158178685, 135126002, 254646766]","[22.53529987250637, 22.53529987250637, 22, 22, 22, 22]","[22.52472203110458, 22.52472203110458, 22, 22, 21, 22]","[0.021824484099588874, 0.021824484099588874, 0, 0, 0, 0]","[-1.046269083362995, -1.046269083362995, -1, -1, 0, -1]",6,1,57160
23,9,"[10698652, 69408558, 79804698, 178955631, 158343587, 242109290]","[22.53529987250637, 22.53529987250637, 22, 22, 22, 26]","[22.52472203110458, 22.52472203110458, 22, 22, 22, 25]","[0.021824484099588874, 0.021824484099588874, 0, 0, 0, 0]","[-1.046269083362995, -1.046269083362995, -1, -1, -1, 0]",6,1,57160
23,10,"[10782064, 86244466, 79804698, 179179348, 158343587, 254646766]","[22.53529987250637, 26.420489207255187, 22, 22, 22, 22]","[22.52472203110458, 25.5571904070156, 22, 22, 22, 22]","[0.021824484099588874, -0.13702703483695977, 0, 0, 0, 0]","[-1.046269083362995, -0.014592737476084168, -1, -1, -1, -1]",6,1,57160
23,13,"[79905840, 179338604, 158402170, 254646766, 2286657, 69306921]","[22.53529987250637, 22.53529987250637, 22, 22, 22, 22]","[22.52472203110458, 22.52472203110458, 22, 22, 21, 22]","[0.021824484099588874, 0.021824484099588874, 0, 0, 0, 0]","[-1.046269083362995, -1.046269083362995, -1, -1, 0, -1]",6,1,57160
